,label
0,"disease, parkinson, based, learning, diagnosis"
1,"using, neural, convolutional, eeg, detection"
2,"integration, disease, ontology, based, ontological"
3,"automated, neural, deep, learning, glaucoma"
4,"big, data, care, cancer, digital"
5,"intelligence, artificial, healthcare, ai, care"
6,"learning, glioblastoma, machine, biomarkers, using"
7,"cancer, learning, prediction, prostate, using"
8,"drug, learning, 19, covid, trials"
9,"ultrasound, based, using, lung, classification"
10,"learning, deep, using, based, network"
11,"learning, cardiovascular, deep, analysis, ct"
12,"data, clinical, electronic, using, record"
13,"clinical, processing, medical, natural, language"
14,"cancer, analysis, cell, genes, expression"
15,"medicine, prediction, omics, disease, network"
16,"clinical, support, decision, knowledge, systems"
17,"learning, using, deep, data, health"
18,"learning, machine, data, clinical, using"
19,"learning, machine, prediction, model, clinical"
